Shipment ID	FBA15BWBNN8P
Name	FBA (18.05.18 20:25) - 1
Plan ID	PLN173XQHV
Ship To	Amazon Fulfillment Center, Via della Meccanica snc, Passo Corese (RI), Rieti, IT, 02032
Total SKUs	41
Total Units	633
Pack list	1 di 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who Will Prep?	Prep Type	Who Will Label?	Shipped	FBA15BWBNN8PU001 - Unit Quantity	FBA15BWBNN8PU001 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU002 - Unit Quantity	FBA15BWBNN8PU002 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU003 - Unit Quantity	FBA15BWBNN8PU003 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU004 - Unit Quantity	FBA15BWBNN8PU004 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU005 - Unit Quantity	FBA15BWBNN8PU005 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU006 - Unit Quantity	FBA15BWBNN8PU006 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU007 - Unit Quantity	FBA15BWBNN8PU007 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU008 - Unit Quantity	FBA15BWBNN8PU008 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU009 - Unit Quantity	FBA15BWBNN8PU009 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU010 - Unit Quantity	FBA15BWBNN8PU010 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU011 - Unit Quantity	FBA15BWBNN8PU011 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU012 - Unit Quantity	FBA15BWBNN8PU012 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU013 - Unit Quantity	FBA15BWBNN8PU013 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU014 - Unit Quantity	FBA15BWBNN8PU014 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU015 - Unit Quantity	FBA15BWBNN8PU015 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU016 - Unit Quantity	FBA15BWBNN8PU016 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU017 - Unit Quantity	FBA15BWBNN8PU017 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU018 - Unit Quantity	FBA15BWBNN8PU018 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU019 - Unit Quantity	FBA15BWBNN8PU019 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU020 - Unit Quantity	FBA15BWBNN8PU020 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU021 - Unit Quantity	FBA15BWBNN8PU021 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU022 - Unit Quantity	FBA15BWBNN8PU022 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU023 - Unit Quantity	FBA15BWBNN8PU023 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU024 - Unit Quantity	FBA15BWBNN8PU024 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU025 - Unit Quantity	FBA15BWBNN8PU025 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU026 - Unit Quantity	FBA15BWBNN8PU026 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU027 - Unit Quantity	FBA15BWBNN8PU027 Expiration Date (dd.mm.yy)
FBA-Z-526	My Custom Style® Set caffè in porcellana modello "love" da 4 tazzine espresso cm 5,4 x 5 di diametro e 4 piattini sottotazza dal diametro di 11cm. Ogni tazzina riporta una differente grafica a Cuore. Ottima idea regalo per San valentino, festa della mamma...o semplicemennte per un romantico uso quotidiano.	B07981M34C	X000SZZWFX		Nuovo	"--"	"--"	Venditore	1		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
FBA_8018B001_MP-120	Canon MP120-MG Desktop Printing calculator - Calculators (Desktop, Printing, 12 digits, 1 lines, AC/Battery)	B00FYLRRRE	X000T8QJJ7	EAN : 4054842391068	Nuovo	"--"	"--"	Venditore	2		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
FBA_AGM-52317	Carta Fotografica Lucida A4 230g 20 Fogli Elevata Qualità	B015VFRHKO	X000Q5PZGV	EAN : 2273724091335	Nuovo	"--"	"--"	Venditore	1		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
FBA_CF-Z-681-BL3A	Tazza Lavagna in Ceramica 4029811260928 Cucina Gourmet Utensili da Cucina Altri	B00CRECEDI	X000NKEX85	UPC : 008963254911	Nuovo	"--"	"--"	Venditore	5		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
FBA_KBS1206_NEU PONCHO	My Custom Style ® Poncho da spiaggia, piscina, bagno, in versione bianca non stampata, per bambini di età 1-6 anni. Dimensione da aperto 120x60cm, indossato copre 60x60 cm sul corpo, a parte un cappuccio avvolgente. Prodotto double face con strato in cotone da 400gr/mq a contatto della pelle, e lato esterno in microfibra.	B073V5FJYF	X000Q5QFX3		Nuovo	"--"	"--"	Venditore	3		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
FBA_MCS-SHOPCO10_2	geschenkartikel-shopping Borsa cotone tinta unita con manici lunghi 10 pezzi - Ideale per tessuto pittura	B007NYCYXW	X000NHH3RB	EAN : 0764558150173	Nuovo	Venditore	Busta di plastica	Venditore	200		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
FBA_MCS-SHPJ-3414171_1 JUTA BEIGE	My Custom Style® Borsa Shopper in JUTA naturale della collezione "BRUNO BAGS", di colore beige, con manici rinforzati da 40cm. Dimensione 40x35x15cm. Qualità My Custom Style. Utile borsa da spiaggia e tempo libero, ideale anche per shopping, o utilizzabile come base per pittura o ricami.	B073XRYWMV	X000Q5JGZ7		Nuovo	"--"	"--"	Venditore	10		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
FBA_MCS-SHPJ-3415630_1 JUTA_ROSSA	My Custom Style® Borsa Shopper Beige/Rosso in JUTA naturale della collezione "BRUNO BAGS", di Corpo della borsa di colore beige con inserti laterali laminati di colore Rosso , con manici rinforzati da 40cm. Dimensione 40x35x15cm. Qualità My Custom Style. Utile borsa da spiaggia e tempo libero, ideale anche per shopping, o utilizzabile come base per pittura o ricami.	B073XS36QS	X000Q55IM7		Nuovo	"--"	"--"	Venditore	2		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
GE-P6J7-61FC	HP HP 10S Calcolatrice	B00ANCVP0O	X000O9V02H	EAN : 5052182959459	Nuovo	"--"	"--"	Venditore	20		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
JX-ZCJF-G5R8	CONFEZ. 10 PEZZI BORSE SHOPPER COTONE NATURALE - CM 38x42	B00Q8RU6YY	X000PYZPBD	EAN : 8211070066236	Nuovo	"--"	"--"	Venditore	75		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
